"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"928","030","30MonoWAV/30MonoT3.wav","positive","low",4,15,"SCARED",5,0,5,2,3,2,2,"tender",1,2,2,2,1,1,1,3,1,2,1,1,NA
"929","030","30MonoWAV/30MonoH1.wav","positive","high",1,5,"ALERT",6,0,6,4,4,2,4,"happy",1,1,1,4,1,4,4,1,1,2,1,4,NA
"930","030","30MonoWAV/30MonoF2.wav","negative","high",2,2,"SCARED",7,0,7,2,2,3,4,"fear",3,1,4,4,2,1,3,2,2,1,2,2,NA
"931","030","30MonoWAV/30MonoS4.wav","negative","low",3,12,"SCARED",8,0,8,1,2,3,1,"sad",1,2,1,2,1,2,2,3,2,3,1,1,NA
"932","030","30MonoWAV/30MonoH2.wav","positive","high",1,6,"GUILTY",9,0,9,3,2,3,1,"happy",1,2,2,3,2,2,2,2,1,1,2,2,NA
"933","030","30MonoWAV/30MonoT4.wav","positive","low",4,16,"ASHAMED",10,0,10,2,3,4,3,"tender",2,3,1,2,1,2,2,3,3,3,1,1,NA
"934","030","30MonoWAV/30MonoH4.wav","positive","high",1,8,"HAPPY",11,0,11,4,4,2,4,"happy",1,1,1,2,1,4,4,1,1,3,1,4,NA
"935","030","30MonoWAV/30MonoH3.wav","positive","high",1,7,"TENDER",12,0,12,3,3,3,2,"happy",1,1,1,2,1,2,2,1,1,2,1,2,NA
"936","030","30MonoWAV/30MonoF4.wav","negative","high",2,4,"GUILTY",13,0,13,5,4,3,2,"fear",2,1,3,4,3,3,3,2,2,1,2,4,NA
"937","030","30MonoWAV/30MonoS3.wav","negative","low",3,11,"FRUSTRATED",14,0,14,2,2,3,2,"sad",2,2,2,2,1,2,1,3,2,2,2,2,NA
"938","030","30MonoWAV/30MonoS2.wav","negative","low",3,10,"ASHAMED",15,0,15,2,2,3,3,"sad",2,3,1,1,1,2,1,3,2,3,1,1,NA
"939","030","30MonoWAV/30MonoS4.wav","negative","low",3,12,"ACTIVE",0,1,16,2,2,4,2,"sad",2,2,2,3,1,1,2,4,3,3,1,1,NA
"940","030","30MonoWAV/30MonoF3.wav","negative","high",2,3,"ALERT",1,1,17,4,3,3,3,"fear",1,1,1,3,1,3,4,1,1,1,1,2,NA
"941","030","30MonoWAV/30MonoT2.wav","positive","low",4,14,"GUILTY",2,1,18,3,3,4,2,"tender",1,2,1,2,1,3,2,3,2,2,1,2,NA
